time	alg	k	fold	iter	inertia	DB
17.255898	full	2	0	5	133870.232709	0.887532
16.805597	full	2	1	10	133873.746156	0.887584
16.880103	full	2	2	8	133889.401393	0.886914
16.434877	full	2	3	4	133890.182230	0.887152
17.139809	full	2	4	10	133867.001209	0.887573
16.231653	full	2	5	5	133902.771050	0.887268
16.141839	full	2	6	5	133879.243629	0.887113
17.281874	full	2	7	7	133894.686886	0.886905
16.833451	full	2	8	6	133935.739182	0.887131
17.785765	full	2	9	6	133811.986698	0.887116
33.913504	full	3	0	10	103201.076505	1.024303
51.944068	full	3	1	8	103196.020676	1.025325
47.376140	full	3	2	14	103212.254242	1.022597
47.837220	full	3	3	13	103187.668860	1.025966
37.919267	full	3	4	10	103185.468706	1.022850
44.982114	full	3	5	8	103221.675699	1.024528
36.367793	full	3	6	13	103206.160892	1.022767
44.381054	full	3	7	6	103212.257235	1.024927
48.534786	full	3	8	20	103238.719676	1.022563
35.097066	full	3	9	10	103149.876733	1.024190
40.842612	full	4	0	18	81739.928036	0.972673
42.031900	full	4	1	20	81741.631147	0.972386
48.975649	full	4	2	17	81745.375703	0.971785
42.921942	full	4	3	11	81739.430055	0.971928
45.048073	full	4	4	21	81728.888242	0.972452
44.189742	full	4	5	18	81760.985853	0.972333
50.639007	full	4	6	17	81745.752097	0.971743
43.939735	full	4	7	33	81754.755908	0.972269
48.942174	full	4	8	21	81786.179392	0.972356
45.110833	full	4	9	41	81712.880582	0.972246
106.978524	full	5	0	27	70896.658178	0.979741
102.238287	full	5	1	21	70894.682586	0.978438
92.860493	full	5	2	20	70897.026697	0.975761
94.778228	full	5	3	22	70889.112780	0.979193
80.997336	full	5	4	24	70877.073527	0.978717
91.589635	full	5	5	37	70913.725154	0.979800
87.593606	full	5	6	23	70911.131092	0.978730
89.550887	full	5	7	21	70909.536809	0.978842
106.705995	full	5	8	29	70938.626057	0.978528
104.081577	full	5	9	26	70868.200919	0.980296
87.609882	full	6	0	16	61994.044995	0.943388
86.160803	full	6	1	31	61989.928525	0.943335
127.035773	full	6	2	42	61993.369911	0.943558
92.641823	full	6	3	47	61988.246076	0.943106
86.360926	full	6	4	20	61977.411483	0.941653
87.155937	full	6	5	34	62009.917882	0.942761
98.569897	full	6	6	27	62004.730165	0.942960
101.316932	full	6	7	54	62011.191956	0.943592
99.583221	full	6	8	19	62031.308643	0.944503
93.960678	full	6	9	35	61956.535796	0.943447
103.649056	full	7	0	27	55303.978152	0.956426
113.484547	full	7	1	22	55297.656704	0.953158
104.491062	full	7	2	28	55291.660992	0.957282
125.024105	full	7	3	26	55291.858482	0.952429
126.659629	full	7	4	37	55275.077732	0.958898
116.612299	full	7	5	23	55316.603211	0.952034
110.554542	full	7	6	32	55311.990363	0.959955
121.932707	full	7	7	14	55305.668130	0.954780
120.485570	full	7	8	26	55331.921350	0.957803
114.323300	full	7	9	15	55264.776223	0.952803
145.483624	full	8	0	38	50002.835387	0.979174
153.551280	full	8	1	18	50002.831099	0.977909
130.796377	full	8	2	33	49992.153072	0.979217
120.223345	full	8	3	40	49997.715930	0.978668
133.282882	full	8	4	18	49982.707347	0.977782
132.278578	full	8	5	47	50016.861959	0.978893
143.923584	full	8	6	40	50012.053652	0.979118
119.143844	full	8	7	21	50008.058453	0.977248
139.538202	full	8	8	80	50033.137176	0.978585
136.725420	full	8	9	30	49969.340136	0.979500
150.050251	full	9	0	30	45928.058766	0.957184
172.226130	full	9	1	47	45920.221493	0.957021
164.275771	full	9	2	108	45911.579897	0.956490
173.336346	full	9	3	31	45913.995417	0.957496
193.934046	full	9	4	90	45903.073836	0.956651
176.644097	full	9	5	88	45934.848674	0.956534
155.329550	full	9	6	33	45927.735697	0.957031
136.396790	full	9	7	29	45925.429880	0.956927
142.115951	full	9	8	24	45950.832397	0.956418
132.230564	full	9	9	32	45890.123135	0.958135
204.030928	full	10	0	39	42798.340533	0.915535
199.595108	full	10	1	76	42790.150150	0.915567
186.195875	full	10	2	26	42521.776472	0.940016
155.984697	full	10	3	20	42530.701167	0.939439
176.024398	full	10	4	40	42516.471245	0.939540
208.294813	full	10	5	57	42533.835236	0.940022
